English|Deutsch|Français|Español|Italiano
OPTIONS|EINSTELLUNGEN|PARAMÈTRES|AJUSTES|IMPOSTAZIONI
PLAYER|SPIELER|JOUEUR|JUGADOR|GIOCATORE
LANGUAGES|SPRACHEN|LANGUES|IDIOMAS|LINGUE
SOUND AND DISPLAY|TON UND ANZEIGE|SON ET AFFICHAGE|SONIDO Y PANTALLA|AUDIO E SCHERMO
Name on the leaderboard|Name in der Rangliste|Nom au classement|Nombre en la clasificación|Nome in classifica
Your nickname|Dein Spielername|Votre pseudo|Tu apodo|Il tuo soprannome
6 languages · Offline dictionaries|6 Sprachen · Offline-Wörterbücher|6 langues · Dictionnaires hors ligne|6 idiomas · Diccionarios sin conexión|6 lingue · Dizionari offline
SAVE|SPEICHERN|ENREGISTRER|GUARDAR|SALVA
BACK|ZURÜCK|RETOUR|VOLVER|INDIETRO
MUSIC|MUSIK|MUSIQUE|MÚSICA|MUSICA
SOUND EFFECTS|SOUNDEFFEKTE|EFFETS SONORES|EFECTOS DE SONIDO|EFFETTI SONORI
HAPTICS|VIBRATION|VIBRATIONS|VIBRACIÓN|VIBRAZIONE
REDUCED MOTION|WENIGER BEWEGUNG|ANIMATIONS RÉDUITES|MENOS ANIMACIONES|MENO ANIMAZIONI
INTERFACE LANGUAGE|MENÜSPRACHE|LANGUE DES MENUS|IDIOMA DE LA INTERFAZ|LINGUA DEI MENU
WORD DICTIONARY|WÖRTERSPRACHE|LANGUE DES MOTS|IDIOMA DE LAS PALABRAS|LINGUA DELLE PAROLE
LETTER CONNECTION|BUCHSTABEN VERBINDEN|LIAISON DES LETTRES|CONEXIÓN DE LETRAS|COLLEGAMENTO LETTERE
ADJACENT|BENACHBART|ADJACENTES|ADYACENTES|ADIACENTI
ANY LETTERS|BELIEBIG|LIBRES|CUALQUIERA|QUALSIASI
Applies to new duels. Saved duels keep their dictionary.|Gilt für neue Duelle. Gespeicherte behalten ihr Wörterbuch.|Pour les nouveaux duels. Les duels sauvegardés gardent leur dictionnaire.|Para nuevos duelos. Los guardados conservan su diccionario.|Per i nuovi duelli. Quelli salvati mantengono il dizionario.
HELP|HILFE|AIDE|AYUDA|AIUTO
JOURNAL|WÖRTERBUCH|LEXIQUE|DICCIONARIO|DIZIONARIO
CREDITS|MITWIRKENDE|CRÉDITS|CRÉDITOS|CREDITI
Use 3–20 letters or numbers.|Verwende 3–20 Buchstaben oder Ziffern.|Utilisez 3 à 20 lettres ou chiffres.|Usa entre 3 y 20 letras o números.|Usa da 3 a 20 lettere o numeri.
Name could not be saved|Name konnte nicht gespeichert werden|Impossible d’enregistrer le nom|No se pudo guardar el nombre|Impossibile salvare il nome
Could not save progress on this device|Fortschritt konnte nicht gespeichert werden|Impossible de sauvegarder la progression|No se pudo guardar el progreso|Impossibile salvare i progressi
PLAY|SPIELEN|JOUER|JUGAR|GIOCA
PLAY  >|SPIELEN  >|JOUER  >|JUGAR  >|GIOCA  >
CAMPAIGN|KAMPAGNE|CAMPAGNE|CAMPAÑA|CAMPAGNA
ENDLESS WORDS|ENDLOSE WÖRTER|MOTS SANS FIN|PALABRAS SIN FIN|PAROLE INFINITE
DAILY CHALLENGE|TAGESAUFGABE|DÉFI DU JOUR|DESAFÍO DIARIO|SFIDA GIORNALIERA
OPEN MAP|KARTE ÖFFNEN|OUVRIR LA CARTE|ABRIR MAPA|APRI MAPPA
ENTER ARENA|ARENA BETRETEN|ENTRER DANS L’ARÈNE|ENTRAR A LA ARENA|ENTRA NELL’ARENA
BEGIN|START|JOUER|INICIAR|INIZIA
PLAY CHALLENGE|HERAUSFORDERUNG|JOUER LE DÉFI|JUGAR DESAFÍO|GIOCA LA SFIDA
CONTINUE RUN|LAUF FORTSETZEN|POURSUIVRE|CONTINUAR PARTIDA|CONTINUA PARTITA
RECORDS|REKORDE|RECORDS|RÉCORDS|RECORD
ARSENAL|ARSENAL|ARSENAL|ARSENAL|ARSENALE
UPGRADES|VERBESSERUNGEN|AMÉLIORATIONS|MEJORAS|MIGLIORAMENTI
CONTINUE DUEL|DUELL FORTSETZEN|REPRENDRE LE DUEL|CONTINUAR DUELO|CONTINUA DUELLO
A new challenge every day|Jeden Tag eine neue Aufgabe|Un nouveau défi chaque jour|Un nuevo desafío cada día|Una nuova sfida ogni giorno
%d / 24 levels|%d / 24 Stufen|%d / 24 niveaux|%d / 24 niveles|%d / 24 livelli
Best wave: %d|Beste Welle: %d|Meilleure vague : %d|Mejor oleada: %d|Ondata record: %d
Best score: %d|Rekord: %d Punkte|Record : %d points|Récord: %d puntos|Record: %d punti
WAVE %d|WELLE %d|VAGUE %d|OLEADA %d|ONDATA %d
WAVE|WELLE|VAGUE|OLEADA|ONDATA
Wave|Welle|Vague|Oleada|Ondata
Words|Wörter|Mots|Palabras|Parole
Time|Zeit|Temps|Tiempo|Tempo
NEXT: BOSS|NÄCHSTER: BOSS|ENSUITE : BOSS|SIGUIENTE: JEFE|PROSSIMO: BOSS
BOSS AT WAVE %d|BOSS IN WELLE %d|BOSS À LA VAGUE %d|JEFE EN OLEADA %d|BOSS ALL’ONDATA %d
BOSS|BOSS|BOSS|JEFE|BOSS
BOSS DEFEATED|BOSS BESIEGT|BOSS VAINCU|JEFE DERROTADO|BOSS SCONFITTO
WAVE %d COMPLETE|WELLE %d GESCHAFFT|VAGUE %d TERMINÉE|OLEADA %d COMPLETADA|ONDATA %d COMPLETATA
Defeat enemies. Every fifth wave is a boss.|Besiege Gegner. Jede fünfte Welle hat einen Boss.|Battez les ennemis. Un boss toutes les cinq vagues.|Derrota enemigos. Hay un jefe cada cinco oleadas.|Sconfiggi i nemici. Un boss ogni cinque ondate.
CHOOSE YOUR POWER-UP|BONUS WÄHLEN|CHOISISSEZ UN BONUS|ELIGE TU POTENCIADOR|SCEGLI IL POTENZIAMENTO
The same power-ups as in the campaign.|Dieselben Boni wie in der Kampagne.|Les mêmes bonus que dans la campagne.|Los mismos potenciadores de la campaña.|Gli stessi potenziamenti della campagna.
